SMILES,LogS
S(=O)(=O)(N)c1ccc(CCCCCO)cc1,-1.971
S(=O)(=O)(NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1)c1c(C(=O)O)cccc1C,-5.6799998
Clc1c(N2C(n3ncnc3)=Nc3c(C2=O)cc(F)cc3)ccc(Cl)c1,-5.5749998
S(=O)(=O)(NC(=O)Nc1nc(OC)cc(OC)n1)Nc1c(C(=O)C2CC2)cccc1,-6.3940001
O=C(OCC)/C(/NC=O)=C/c1cc2OCOc2cc1,-2.1389999
O=C(OCC)/C(/NC=O)=C/c1ccc(OC)cc1,-2.74
O=[N+]([O-])c1cc(/C=C(\NC=O)/C(=O)OCC)ccc1,-2.47
Clc1ccc(S(=O)(=O)CC(=O)OC(C)C)cc1,-2.4089999
Clc1cc(/C=C(\NC=O)/C(=O)OCC)ccc1,-3.1099999
Clc1ncc(CN2/C(=N/[N+](=O)[O-])/NCC2)cc1,-2.622
S(=O)(=O)(C)c1c(C(=O)c2c(C3CC3)onc2)ccc(C(F)(F)F)c1,-4.763
S(=O)(=O)(NC(=O)Nc1nc(OC)cc(OC)n1)c1c(S(=O)(=O)CC)nc2n1C=CC=C2,-4.4169998
FC(F)(F)c1sc(OCC(=O)N(C(C)C)c2ccc(F)cc2)nn1,-3.812
S(=O)(=O)(c1ccc(C)cc1)C1(C(=O)OC)CC1,-2.8800001
S(=O)(=O)(c1ccc(C)cc1)C1(C(=O)OC(C)C)CC1,-3.2309999
Clc1ccc(S(=O)(=O)C2(C(=O)OC)CC2)cc1,-3.309
Clc1ccc(S(=O)(=O)C2(C(=O)OC(C)C)CC2)cc1,-3.54
Brc1ccc(S(=O)(=O)C2(C(=O)OC)CC2)cc1,-3.6700001
S(=O)(=O)(c1ccc([N+](=O)[O-])cc1)C1(C(=O)OC)CC1,-3.3800001
S(=O)(=O)(c1ccc([N+](=O)[O-])cc1)C1(C(=O)OC(C)C)CC1,-4.2600002
Fc1c(N2c3nc(N4CC5C(N)C5C4)c(F)cc3C(=O)C(C(=O)O)=C2)ccc(F)c1,-4.5300002
O=C(OC(C)C)NNc1c(OC)ccc(-c2ccccc2)c1,-4.902
Clc1cc(Cl)cc(C(C)(C)N2C(=O)C(c3ccccc3)=C(C)OC2)c1,-6.3200002
Fc1c(c(F)ccc1)C=1OCC(c2c(OCC)cc(C(C)(C)C)cc2)N=1,-6.678
Clc1c(N)c(Cl)c(OCC(=O)OC(COCCCC)C)nc1F,-4.467
Clc1c(Cl)cccc1Oc1ccc(Cl)cc1,-5.3099999
Clc1c(Oc2ccc(Cl)cc2)c(Cl)ccc1,-5.9089999
Clc1c(N2C(=O)N(C(=O)N(CC)C3CCCCC3)N=N2)cccc1,-5.1820002
S(=O)(=O)(c1ccc([N+](=O)[O-])cc1)C1(C(=O)OC(C)C)CCCCC1,-4.880000099999998
Brc1ccc(S(=O)(=O)C2(C(=O)OC)CCC2)cc1,-3.55
Brc1ccc(S(=O)(=O)C2(C(=O)OC)CCCC2)cc1,-4.0100002
Brc1ccc(S(=O)(=O)C2(C(=O)OC)CCCCC2)cc1,-4.4790001
Clc1ccc(S(=O)(=O)C2(C(=O)OC)CCC2)cc1,-3.0
S(=O)(=O)(c1ccc(C)cc1)C1(C(=O)OC(C)C)CCC1,-3.342
S(=O)(=O)(c1ccc(C)cc1)C1(C(=O)OCC)CCC1,-2.9590001
S(=O)(=O)(c1ccccc1)C1(C(=O)OC)CCCC1,-2.55
S(=O)(=O)(c1ccccc1)C1(C(=O)OC)CCCCC1,-2.8499999
Clc1c(Oc2ccccc2)c(Cl)ccc1Cl,-5.9499998
O(N=C(c1ccccc1)c1ccccc1)C(=O)c1c(Oc2nc(OC)cc(OC)n2)cccc1Oc1nc(OC)cc(OC)n1,-5.2410002
Clc1c(/C=C(\NC=O)/C(=O)OCC)cccc1,-2.9990001
O=C(OCC)/C(/NC=O)=C/c1cocc1,-2.7479999
O=C1C(N2C(=O)c3c(C2=O)cccc3)CCC(=O)N1,-2.6760001
Clc1c(NC(=O)c2c(O)ccc(Cl)c2)ccc([N+](=O)[O-])c1,-5.3109999000000006
S(C)c1[nH]cnc-2ncnc1-2,-2.335
Oc1cc2c(CCN)c[nH]c2cc1,-0.94499999
O=C(Nc1ccc(OC)cc1)C,-1.039
ClCCN(CCCl)C,-1.114
O=C(OCC)N,0.73100001
O=C(O[C@]1(C#C)[C@]2(C)C(C3C(C4C(=CC(=O)CC4)CC3)CC2)CC1)C,-4.8039999
Clc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,-4.4289999
SC[C@H](N)C(=O)O,0.359
O=C1[C@]2(C)C(C3C([C@]4(C)C(C[C@H](O)CC4)CC3)CC2)CC1,-4.3839998
c12c3c(ccc1cc1c4c(ccc1c2)cccc4)cccc3,-8.0480003
IC=1C(=O)NC(=O)N(C2OC(CO)C(O)C2)C=1,-2.2479999
S=P(OC)(OC)Oc1cc(C)c(SC)cc1,-4.5689998
N(=Nc1ccc(N(C)C)cc1)c1cc(C)ccc1,-5.777
S=C1NC(=O)C=C(C)N1,-2.4260001
c12c3c(ccc1cc1c(c2)cccc1)cccc3,-7.3850002
ClC=1C(=O)Oc2c(C=1C)ccc(OP(=S)(OCC)OCC)c2,-5.3839998
O=C(O)[C@@H](N)CCC(=O)N,-0.54900002
O=C(O)[C@@H](N)CCC(=O)O,-1.235
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,-3.0460000000000003
O=C(N(CC)CC)c1cnccc1,0.74900001
Clc1c(C)cc(O)cc1,-1.571
O=C(O)c1cnccc1,-0.83499998
O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,-2.4660001
N(=Nc1ccccc1)c1ccc(N(C)C)cc1,-5.9910002
O=C1N=C(N)N(C)C1,-0.15000001
O(CC)CC,-0.089000002
O=C1N(N(C)C(C)=C1)c1ccccc1,-0.56
P(=O)(OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N)c3nc2)O1)(O)O,-1.541
Nc1ccccc1,-0.41299999
OCC,1.337
O=CN(C)C,1.136
O=C1NC=Nc2nc[nH]c12,-2.289
O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)[C@H](N)c1ccccc1,-1.539
Fc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,-2.668
Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1,-3.286
O=C(O)[C@@H](N)CCCNC(=N)N,0.018999999
BrC,-0.7959999999999999
C=C,-2.3310001
O1CC1,1.3559999
C(C)(C)C,-3.076
FC(F)C,-1.3150001
N(C)(C)C,1.178
NC(C)(C)C,1.136
ClC(F)(F)C,-1.8559999
ClC(Cl)(Cl)F,-2.096
ClC(F)(F)F,-3.0650001
ClC(Cl)(Cl)C(=O)O,-0.47600001
O(CC)c1c2OC3C(O)C=CC4C53c2c(cc1)CC4N(C)CC5,-2.079
OC(c1cc(C)c(N)cc1)(c1ccc(N)cc1)c1ccc(N)cc1,-3.027
O=C1C(CC)(c2ccccc2)CCC(=O)N1,-2.3369999
O=[N+]([O-])C(CO)(CO)C,0.77200001
S(P(SCCCC)(SCCCC)=O)CCCC,-5.1360002
P(=O)(OCCOCCCC)(OCCOCCCC)OCCOCCCC,-2.559
ClC(CC)C,-1.966
O=C(O)C1C(C)(C)OC(=O)C1,-1.245
Clc1ccc(C2S(=O)(=O)CCC(=O)N2C)cc1,-2.039
S(=O)(=O)(O)c1c2c(cc(N)cc2)ccc1,-2.8299999
O=C(CC(c1ccccc1)C=1C(=O)Oc2c(C=1O)cccc2)C,-4.2589998
Clc1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl,-5.827000099999999
O=C1N(N(C)C(C)=C1N)c1ccccc1,0.55400002
O(C)c1c(OC)cc2c(OCC3Oc4c(C(=O)C23)ccc2O[C@@H](C(=C)C)Cc42)c1,-6.295000099999998
P(=O)(OC1C(O)C(n2c3ncnc(N)c3nc2)OC1CO)(O)O,-2.842
O=C(Oc1ccccc1)c1c(C(=O)Oc2ccccc2)cccc1,-6.589000200000001
O=C(OCCCCCCCCCC)c1c(C(=O)OCCCCCCCCCC)cccc1,-9.3079996
O=[N+]([O-])c1c(O)c(C(=O)O)ccc1,-2.1489999
Clc1ccc(C(=O)c2c(C(=O)O)cccc2)cc1,-2.717
O=C(NCCN(CC)CC)c1c2c(nc(OCCCC)c1)cccc2,-3.913000100000001
O=[N+]([O-])c1c2c(ccc1)cccc2,-4.276
Ic1c(I)c(I)[nH]c1I,-3.4549999
Clc1c(O)c(C)ccc1,-0.77399999
Oc1c(O)cccc1O,0.60399997
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.9109998
O=C([C@@H](O)[C@H](O)[C@@H](O)CO)CO,0.301
Clc1c([N+](=O)[O-])cccc1,-2.553
Oc1c(CC)cccc1,-1.359
N12[C@@H]([C@@H]3CN4[C@H]([C@H](C1)C3)CCCC4)CCCC2,-1.887
n1c2nccnc2cnc1,0.034000002
Cc1cc2c(cc1)cccc2,-3.7620001
Nc1nc(N)nc(-c2ccccc2)n1,-2.494
c1(-c2ccccc2)ccccc1,-4.3470001
Nc1cc2nc3c(cc2cc1)ccc(N)c3,0.37799999
S1c2c(Nc3c1cccc3)cccc2,-5.098
O=C(CC)c1ccccc1,-1.827
ClCC(=O)N(CC=C)CC=C,-0.94499999
O=C(OCCC)c1ccc(O)cc1,-2.5569999
Oc1c(CCc2ccccc2)ccc(O)c1,-2.7179999
Clc1c(N)cccc1,-1.194
Oc1c(N)cccc1,-0.73699999
Oc1cc(C)c(C)cc1,-1.409
Oc1c(C)ccc(C)c1,-1.538
O=C(CC)CC,-0.273
ClCC(=O)OC,-0.373
S=C1NCCN1,-0.708
Clc1cc(Cc2c(O)ccc(Cl)c2)c(O)cc1,-3.953000100000001
O=C(O)C(CC(=O)O)=C,-0.229
FC(F)(F)c1ccccc1,-3.0190001
Oc1ccc(C(C)(C)C)cc1,-2.4130001
O=C(O)c1ccc(C(C)(C)C)cc1,-3.8039999
O=C(N)c1cnccc1,0.61199999
O=C(O)c1cc(C)ccc1,-2.1429999
O=C(O)c1cc(N)ccc1,-1.3660001
O=C(O)c1cc(O)ccc1,-1.28
O=[N+]([O-])c1cc(N)c(OC)cc1,-3.165
O=[N+]([O-])c1cc(C=O)ccc1,-1.967
O=C(O)c1ccc(C)cc1,-2.6029999
O=C(O)c1ccc(O)cc1,-1.4409999999999998
O=C(O)c1ncc(C(=O)O)cc1,-2.1440001
C(=C)c1ccncc1,-0.55800003
OCc1ccccc1,-0.40200001
C(=C)c1cc(C)ccc1,-3.1229999
Nc1ccc(Cc2ccc(N)cc2)cc1,-2.2969999
C(c1ccccc1)c1ccccc1,-4.0770001
C(C)c1cc(CC)cc(CC)c1,-7.064000099999999
N(CCC)(CCC)CCC,-2.2820001
O=C(OCC(CCCC)CC)C=C,-3.2650001
C(Cc1ccccc1)C,-3.362
Oc1ccc(CCCCCCCCC)cc1,-4.4980001
O(C)c1ccc(/C=C\C)cc1,-3.1259999
Oc1c(C)cc(C)cc1,-1.1909999999999998
O=C(OCC)CCCCCCC,-3.3900001000000004
O=C(OCCC)CC,-1.341
Brc1ccc(Cl)cc1,-3.6300001
Clc1ccc(Cl)cc1,-3.257
Clc1ccc(O)cc1,-0.72899997
O=C1C=CC(=O)C=C1,-0.98799998
ClCC1OC1,-0.147
C(#C)CC,-1.275
O=CC=C,0.57800001
ClCCCl,-1.061
NCCC,1.228
O=COC,0.583
O=C(O)CNC,0.52700001
O=C(OC(=O)C)C,0.07
Nc1cc(N)ccc1,0.34299999
O=C(OCC)CC(C)C,-1.814
Cc1cc(C)cc(C)c1,-3.3970001000000005
Oc1cc(C)cc(C)c1,-1.399
Cc1nc(C)cc(C)c1,-0.53899997
NC1CCCCC1,1.0039999
Sc1ccccc1,-2.1199999
CN1CCOCC1,0.995
N(CCCN)(C)C,0.991
N#CCCC,-0.32100001
OCCC#N,1.148
O(CCO)C,1.119
o1cccc1,-0.833
O=C(CCCCC)C,-1.4240000000000002
O=C(O)/C=C/C=C/C,-1.7690001
S(SCC)CC,-2.6099999
n1ccccc1,1.102
O=C(OCCOCC)C,0.27200001
O=C(O)CCCCCCCCC(=O)O,-2.306
ClCCOCCCl,-0.92000002
O(CCO)CCO,0.97399998
OCCCCCCCC,-2.382
O(CCOCC)CCO,0.87199998
O=C(OCCOCCCC)C,-1.25
O(CCO)CCCCCC,-1.169
O(CCOCCO)CCOCC,0.74900001
O(CCOCCO)CCOCCO,0.71200001
C(=C)(C)C,-2.329
ClC1(Cl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1C2CO[SH0](=O)OC1,-6.098
P(=O)(OCCCCCCCC)(Oc1ccccc1)Oc1ccccc1,-6.4130001
P(=O)(OC)(Oc1ccccc1)Oc1ccccc1,-2.1210001
Clc1c(Cl)cc(S(=O)(=O)c2ccc(Cl)cc2)c(Cl)c1,-6.658999900000001
O=C(O)C(c1ccccc1)c1ccccc1,-3.2230000000000003
O=[N+]([O-])c1c(Nc2ccc(O)cc2)ccc([N+](=O)[O-])c1,-5.4439998
O=C(OC)c1c(O)cccc1,-2.3369999
O=C(O)c1c(NC)cccc1,-2.878
S(=O)(=O)(O)c1cc2c(c(N)ccc2)cc1,-2.349
Clc1c(OC(C(=O)O)C)ccc(Cl)c1,-2.8269999
Oc1c(O)cccc1,0.62199998
Clc1cc([N+](=O)[O-])ccc1,-2.7609999
S=P(SC(C(=O)OCC)CC(=O)OCC)(OC)OC,-3.3640001000000006
N(c1ccccc1)c1ccccc1,-3.5039999
O(CC1OC1)c1ccccc1,-1.796
OCCCc1ccccc1,-1.38
O=CC(CCCC)CC,-2.506
O=C1NNC(=O)C=C1,-1.395
OC(CNCCN)C,0.92699999
O=C(OCCCC)C,-1.141
O=C(OCCC(C)C)C,-1.814
O=C(OCCOCCOCCCC)C,-0.81900001
FC12[C@@H](O)CC3(C)C(O)(C(=O)CO)[C@H](O)CC3C1CCC=1C2(C)C=CC(=O)C=1,-3.6930001
BrC(CBr)COP(=O)(OCC(Br)CBr)OCC(Br)CBr,-4.941
S(=O)(=O)(Nc1nc(C)ccn1)c1ccc(N)cc1,-3.1170001
O=C(O)CC[C@@H](C)C1[C@]2(C)C(C3[C@@H](O)CC4[C@@](C)(C3CC2)CC[C@@H](O)C4)CC1,-4.2930002
O(C)c1c(OC)ccc2[C@@H]([C@@H]3N(C)CCc4c3c(OC)c3OCOc3c4)OC(=O)c12,-3.1389999
O=C(OCCC)c1c(C(=O)OCCC)cccc1,-3.365
O=C(O)c1c2c(nc(-c3ccccc3)c1)cccc2,-3.1930001
O=C(O)CCCc1c2c([nH]c1)cccc2,-2.9100001
Clc1c(N)cc(Cl)cc1C(=O)O,-2.4690001
Ic1c(O)c(C(=O)O)cc(I)c1,-3.308000100000001
Oc1cc2c(cc1)cccc2,-2.2809999
O(c1c(CO)cccc1)C1C(O)C(O)C(O)C(CO)O1,-0.85500002
O=C(O)CN(CC(=O)O)CC(=O)O,-0.50999999
O=Cc1cc(O)c(O)cc1,-1.34
O=C(O)CCC1CCCC1,-1.7690001
O=C(OCCCC)C=C,-1.807
P(=O)(O/C(=C/C(=O)N(C)C)/C)(OC)OC,0.625
O=C(O)CC(=O)O,0.86500001
C(C)c1cc(CC)ccc1,-3.7479999
ClCCCCl,-1.614
S=C(NNC(=S)N)N,-1.7970001
O1CCCCC1,-0.030999999
C(CCC)CCC,-4.4689999
OCC1C(O)C(O)C(n2c3nc[n+]([O-])c(N)c3nc2)O1,-4.6110001
S=C1Sc2c(N1)cccc2,-3.1440001
O=C(O)c1cc(O)c(O)c(O)c1,-1.155
O=C(Nc1ccc(OCC)cc1)N,-2.1730001
Cl/C=C/Cl,-1.331
c12c3c4c5c6c1c1ccc6ccc5ccc4ccc3ccc2cc1,-9.3319998
c12c3cc4c5c(ccc4c1-c1c(-c2ccc3)cccc1)cccc5,-8.4809999
S1c2c3c(ccc2Nc2c1c1c(cc2)cccc1)cccc3,-6.879000200000001
n1c2c(c3c(c1)cccc3)cccc2,-2.776
n1ncc2c(c1)cccc2,-0.41499999
n1c2c(cc3c1cccc3)cccc2,-3.6689999
[nH]1ncc2c1ncnc2,-1.381
S=P(OC)(OC)Oc1ccc([N+](=O)[O-])cc1,-3.8440001000000006
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-2.6910000000000003
O(C)c1c2occc2cc2c1OC(=O)C=C2,-3.6570001
Clc1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1,-5.5070000000000014
O=C(O)C(O)Cc1ccc(O)cc1,-1.15
ClC1(Cl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1C2C2C=CC1C2,-7.331999799999998
Fc1c2c(ccc1)cccc2,-3.453000100000001
O=C(O)C(N)CC(C)C,-1.046
FCC,-1.347
BrC1=C(O)C(=O)C(Br)=CC(Br)=C1,-3.5910001000000005
O=C1C(C)C2C(O)C3=C(C)C(=O)CC3C(C)CC2O1,-1.9450001
Ic1c(NC(=O)C)c(I)c(CNC(=O)C)c(I)c1C(=O)O,-2.3210001
Nc1nc(C)nc(C)c1,-1.284
Fc1ccccc1,-1.795
Nc1cnccc1,1.026
O=C1[C@@]2(C)C(C)(C)[C@@H](C1)CC2,-3.1830001
N=C(NC)N,-1.6130000000000002
Nc1c2c(N)cccc2ccc1,-2.27
O=[N+]([O-])C1C(=O)NC(=O)NC1=O,-2.2839999
O=C1C2(C)C(C3C(C4(C)C(C[C@@H](O)CC4)CC3)CC2)CC1,-4.158
O=C1NC(=O)c2nccnc2N1,-2.1180000000000003
O(C)c1c(OC)ccc(C2OCC3C(c4cc(OC)c(OC5C(O)C(O)C(O)C(CO)O5)cc4)OCC23)c1,-3.1259999
O=C(O)c1c(C(=O)O)ccnc1,-1.854
Oc1c2c(O)cc(C)cc2cc2c1c(O)ccc2,-3.0580001
[C@H]1(c2cnccc2)NCCCC1,0.79000002
O=C(O)CNC(=O)c1ccccc1,-1.679
O=C1NC2NC(=O)NC2N1,-2.092
O=C1C2CC(C1)CC2,-1.756
O=C(O)c1nc(C(=O)O)cc(O)c1,-2.0869999
O=C(O)c1cc(C(=O)O)cnc1,-2.2230000000000003
O=C(O)CC(C)C,-0.40000001
ClCCSCCCl,-2.3670001
ClC(C)(C)C,-1.507
O=C(OCC(=O)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)C(O)C2)CC1)CC(C)(C)C,-5.5110002
C(=CC)(C)C,-2.5599999
SC(CC)C,-1.835
O=C(O)C(O)(C)c1ccccc1,-0.89399999
O=C(O)C(N)C(C)C,-0.197
O=C(N(C)C)C(=O)N(N(C(=O)C)C)c1ccccc1,-0.53500003
O=C1C(OC2C(O)C(O)C(O)C(C)O2)=C(c2cc(O)c(O)cc2)Oc2c1c(O)cc(O)c2,-3.845
O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,-3.6240001
S(=O)(=O)(Nc1n(-c2ccccc2)ncc1)c1ccc(N)cc1,-2.3210001
Oc1c(C)c(C)ccc1,-1.4269999999999998
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.207
C(C)(C)c1c(C)cccc1,-3.76
O=C(O)C(=O)c1c(C(=O)O)cccc1,0.52100003
O=C1c2c(NC=C1)cccc2,-1.3660001
O=C(C)c1ccc(OC2C(O)C(O)C(O)C(CO)O2)cc1,-1.1740000000000002
O=C1C(O)=CC=CC=C1,-0.47499999
Cc1occc1,-1.4369999999999998
O=[N+]([O-])c1c(O)c(C)cc([N+](=O)[O-])c1,-3.0
C(C)(C)c1cc(C)ccc1,-3.4990001000000004
C(#C)c1ccccc1,-2.3499999
O=C(OC1CC2N(C)C(C1)CC2)c1ccccc1,-2.1589999
O=C(NN)Nc1ccccc1,-2.3340001
C(CCc1ccccc1)CC,-4.6430001
O=C(OC(CCC)C)N,-1.226
O=C(O)C(N)CCCC(=O)O,-1.865
ClCOCCl,-0.71799999
ClCCCCCC,-3.122
O=[N+]([O-])c1c(O)ccc2c1cccc2,-2.9760001
O=C1c2c(O)cc(O)cc2OC(c2cc(O)c(O)cc2)C1,-3.615
O=[N+]([O-])c1cc(N)c(OCCC)cc1,-3.1589999
O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,-0.903
O=C(O)/C=C\C(=O)Nc1ccccc1,-2.2809999
O=C(O)CNC(=O)CNC(=O)CN,-0.50999999
OCC1OC1,1.13
CC1(C)OC1,-0.094999999
C(CC)(CC)(C)C,-4.2290001
S=P(SCSP(=S)(OCC)OCC)(OCC)OCC,-5.2839999
C(=C)(CC)C,-2.7320001
C(C(C)C)(CC)C,-4.2810001
O(C)c1c(O)c(OC)cc(C2c3c(c(O)c4OCOc4c3)CC3C2C(=O)OC3)c1,-4.125
S(=O)(=O)(O)c1ccc(N=Nc2c(O)ccc3c2cccc3)cc1,-0.27599999
O=C(OCOC)c1c(O)cccc1,-2.3
Oc1cc2c(nccc2)cc1,-2.1619999
Cc1c(C)cccn1,0.38499999
Clc1c(O)cc(Cl)cc1,-1.911
OC(CC)CC,-0.233
O=C(OC(C)(C)C)C(=C)C,-2.1530001
OCc1cc(C)ccc1,-0.38800001
O=C(OCCCC)CC,-1.938
C(CCC)(C)(C)C,-4.3569999
OC(CCC)(C)C,-0.49900001
C(=C)CCCCC,-3.732000100000001
O=C(O)C(N)(CC)C,0.38
ClCC(O)(CCl)C,-0.182
O=C(OC)N,0.96399999
O=[N+]([O-])c1c2c(cc3c1cccc3)cccc2,-6.2919998
O=[N+]([O-])c1c2c3c(cc1)CCc3ccc2,-5.3400002
O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c1C,-2.043
O=[N+]([O-])c1c(C(=O)O)c(C(=O)O)ccc1,-1.021
O=C1N(C)C=2NC(=O)NC=2C(=O)N1,-3.5280001000000003
O=[N+]([O-])c1c2NC(=O)NC(=O)c2cc([N+](=O)[O-])c1,-3.2060001
C(C)c1c(C)cccc1,-3.207
O(CC)c1ccc(N2C(=O)CCC2=O)cc1,-2.461
O=[N+]([O-])c1c(CC)cccc1,-2.799
O=C(NC(=O)c1ccccc1)c1ccccc1,-2.273
O=C1NCCC1,1.0700001
O=C(O)C(N)CC(=O)O,-1.212
O=C(OC)/C(=C/C(=O)OC)/C,-2.2850001
O=C(O)/C=C/c1c(OC2C(O)C(O)C(O)C(CO)O2)cccc1,-1.5140001
O=C(O)c1ccc(C#N)cc1,-2.089
O=NN(CCC)CCC,-1.001
O=Cc1ccc(C=O)cc1,-2.8269999
OC(CCC)CC,-0.80299997
O=C(OCCCCC)CC,-2.2509999
C(=C/C)\C,-2.0409999
OC(CCCC)(C)C,-1.0779999
Clc1cc(F)ccc1,-2.346
Oc1nccc(O)c1,-1.25
O=C(O)/C=C/CC,-0.20200001
ClCCCO,0.42199999
O=[N+]([O-])CCCCC,-1.955
O(CCCC)C,-0.99000001
C(CCCCCCCCCCCCC)CCCCCCCCCCCC,-8.3339996
Clc1c(N)c(Cl)cc(Cl)c1,-3.691
O=C(O)[C@H](O)CC(=O)O,0.43399999
O=C1C=CC(=NO)C=C1,-1.546
O=C(O)CCCCCCCCCCCC,-3.813
O=C1N=C(N)N=C(N)N1,-3.2290001
BrC(Cl)C(Br)Cl,-2.5639999
C(=C)CC(C)C,-3.244
O=C(CCCCCCCC)C,-3.309
[I+2]([O-])([O-])c1ccccc1,-1.841
O=C1NC=Nc2nccnc12,-1.46
S=C(Nc1cc([N+](=O)[O-])ccc1)N,-1.45
O=C(O)c1c2c(cc3c1cccc3)cccc2,-3.4170001000000005
N1C2C(CCC1)CCCC2,-1.0829999
c12-c3c(cccc3)CCc1cccc2,-4.6350002
Cc1c2c(c(C)c3c1cccc3)cccc2,-6.566
P(=O)(CCCC)(CCCC)CCCC,-0.59299999
ClC(Cl)(Cl)P(=O)(OCC)OCC,-1.7539999
O=C1N(C)CCC1,1.0039999
Clc1ccc(CO)cc1,-1.756
