SMILES,LC50
CN1CCN2C(C1)C1=CC=CC=C1CC1=CC(O)=CN=C21,3.97
N[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12,5.46
CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)C)C(=C1)O,5.76
COC(=O)[C@@H]1C2CCC(C[C@@H]1O)N2C,2.84
CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,5.32
Cc1ccc(cc1)C(=O)C(C)N2CCCC2,4.16
Cc1cc(=O)[nH]c(=S)[nH]1,2.45
COC1=NC(N)=NC(C)=N1,1.57
Cc1ccc(c(c1)C)N(C)C=N,3.89
c1(nc(nc(n1)Cl)N)N,1.35
CCOCN(C(=O)CS(O)(=O)=O)C1=C(C)C=CC=C1CC,3.37
CCC1=CC=CC(C)=C1N1C(C)COCC1=O,3.78
c1ccc(cc1)C(=N)N,3.54
CN1CCN(C1=O)C,1.88
O=C1C=CC=C2NNN=C12,3.26
CNC(=O)CSP(=O)(OC)OC,3.17
CC(=O)NP(=O)(OC)SC,3.28
C/C(=C\C(=N\C)\O)/OP(=O)(OC)OC,4.24
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,5.05
CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C,4.74
CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1,5.06
CCOC(=O)NC1=CC=CC(OC(=O)NC2=CC=CC=C2)=C1,4.82
CN(C)C1CSSSC1,4.11
C=CCN(CC=C)C(=O)C(Cl)Cl,4.82
NCCc(c1)ccc(O)c1,2.69
C(CCNC(=N)N)CN,3.25
c1ccc(cc1)/N=N/c2c3ccccc3ccc2O,5.35
C[C@H](C(=O)NC1C(SC1(C)C)(C)C)NC(=O)[C@H](CC(=O)O)N,3.47
C1=CC(=C(C=C1N)Cl)Cl,4.3
Clc2cccc(Cl)c2Nc1ccccc1CC(=O)OCC(=O)O,5.72
CC(C)(/C=N/OC(=O)NC)SC,5.14
CC(C)(/C=N/OC(=O)NC)S(=O)(=O)C,4.65
CC(C)(/C=N/OC(=O)NC)[S+](C)[O-],3.71
Fc1ccc(cc1)C(O)CCCN3CCN(c2ncccc2)CC3,3.16
C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3,3.93
CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC,4.72
Clc2cccc1SC(=O)N(c12)CC(=O)O,3.52
CCOC(=O)CCN(C(C)C)SN(C)C(=O)Oc1ccc2c(c1)CC(C2)(C)C,6.05
CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,5.15
CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl,4.78
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,5.44
Clc1ccc(OC)c(c1OC)C(=N\OCC)\OC(=O)c2ccccc2,6.9
COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-],6.17
CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O,5.85
Brc1cc(cc(Br)c1N)C(O)CNC(C)(C)C,4.08
CC(C)N1/C(=N/C(C)(C)C)/SCN(C1=O)C2=CC=CC=C2,5.3
CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],6.99
CCC(C)SP(=O)(OCC)SC(C)CC,4.93
CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl,6.85
CCOC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)Cl)OC,4.83
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl,4.05
CC(C)(C)CNC(O)c1ccc(N)c(C#N)c1,3.41
CCC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,4.6
CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl,4.66
C[C@H](C(=O)OCC#C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)Cl)F,5.4
CCCCCC(C)OC(=O)COC1=C2C(=C(C=C1)Cl)C=CC=N2,6.17
S=P(Oc1ccc(C#N)cc1)(OCC)c2ccccc2,6.09
CCCC(=NOCC)C1=C(CC(CC1=O)C2CCCSC2)O,5.01
CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,5.06
CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3,4.61
CCSCCSP(=O)(OC)OC,4.05
S(c1nc(nc(n1)NC(C)C)NC)C,3.82
CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl,6.18
CCN(CC)C(=O)N1CCN(CC1)C,2.36
S(c1nc(nc(n1)NC(C)C(C)C)NCC)C,4.21
CC1=NC=C(N1C)[N+](=O)[O-],3.61
CCCOC(=O)C1=CC=CC=C1C(=O)OCCC,4.9
CCSCC1=CC=CC=C1OC(=O)NC,4.48
O=C(Oc1ccccc1CS(=O)(=O)CC)NC,3.86
O=C(Oc1ccccc1CS(=O)CC)NC,3.24
CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F,6.67
CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C,4.62
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl,3.49
C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N,5.68
CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl,4.8
O=S(=O)(c1c(cc(OP(=O)(OC)OC)cc1)C)C,3.13
C1=CC(=C(C(=C1)Cl)Cl)C2=CNC=C2C#N,5.9
CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,6.26
O=P(OC)(OC)Oc1ccc(SC)c(c1)C,3.99
COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC,4.26
CN1C=C(C(=O)C(=C1)C2=CC(=CC=C2)C(F)(F)F)C3=CC=CC=C3,6.76
C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3,5.13
C1COCCN1CC2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-],3.65
CCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C,5.45
CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,4.13
CCOCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl,5.45
Clc1ccc(cc1)C3SC(=O)N(C(=O)NC2CCCCC2)C3C,5.44
CN1C(=CN=C1CO)[N+](=O)[O-],3.79
CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@]34CO4)O2)O)O)C)COC(=O)C,3.92
[O-][N+](=O)c1cnc(n1C)C(O)(C)C,3.19
Clc1cc(cc(Cl)c1N)C(O)CNC(C)(C)CO,3.73
[O-][N+](=O)c1cnc(n1CCO)CO,3.03
CC(CO)c1ncc(n1C)[N+](=O)[O-],3.39
CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,6.42
CN(C)C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)N(C)C)O,4.38
Clc1cc(cc(c1N)C(F)(F)F)C(O)CNC(C)(C)CC,4.92
CN(C1=CC=CC=C1)C(=O)COC2=NC3=CC=CC=C3S2,4.52
O=C(OC)/C(=C/OP(=S)(OC)OC)C,4.88
CC(C(=O)C1=CC=CC=C1)NC,3.67
O=C(SCC)N1CCCCC1,3.62
CCN(CC1=CN=C(C=C1)Cl)/C(=C/[N+](=O)[O-])/NC,4.24
C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,4.57
CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1,5.07
CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,3.58
O=C(N(CCOc1c(Cl)cc(Cl)cc1Cl)C(C)C)n2ccnc2,5.96
CCOC(=O)C(C)Oc1cccc(c1)Oc2cnc3cc(Cl)ccc3n2,5.4
O=C1CC(CC(SCC)C)CC(=O)C1\C(=N\OCC)CCC,4.93
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)[N+](=O)[O-],4.09
O=C(Nc1nc(nc(n1)C)C)NS(=O)(=O)c2ccccc2C(=O)OC,3.71
CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,4.78
CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)C(C)(C)C)C,6.06
CC1=CC(=C(C(=C1)Cl)OP(=S)(OC)OC)Cl,5.64
O=S(=O)(N(SC(Cl)(Cl)F)c1ccc(cc1)C)N(C)C,5.21
CCCN(CCC)C(=O)SCCC,4.3
O=C(NN=C1C(C)(C)C)N(N)C1=O,2.81
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,2.92
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,4.87
COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,3.02
NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CC=N2,2.87
c1(S(Nc2nc(cc(n2)C)C)(=O)=O)ccc(N)cc1,3.26
c1(NS(c2ccc(N)cc2)(=O)=O)cc(nc(n1)OC)OC,3.28
c1(S(Nc2nccs2)(=O)=O)ccc(N)cc1,3.55
N1(c2c(cccc2)C=Cc2c1cccc2)C(N)=O,4.04
c1(ccccc1)C2(C(=O)NCNC2=O)CC,2.88
CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O,4.84
CC1=NC=C(N1CCO)[N+]([O-])=O,3.29
c1(Cc2c(nc(N)nc2)N)cc(c(OC)c(c1)OC)OC,3.64
c1c(c(ccc1)Nc1c(cccc1Cl)Cl)CC(=O)O,5.67
CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,5.09
c1([C@@H](C(O)=O)C)ccc(CC(C)C)cc1,5.31
CC(C)(OC1=CC=C(Cl)C=C1)C(O)=O,4.02
CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,5.08
COC1=CC2=C(C=C1)N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C2CC(O)=O,6.26
c1(c(cccc1)C(O)=O)Nc1c(c(ccc1)C)C,5.54
c1(C(NCCc2ccc(OC(C(O)=O)(C)C)cc2)=O)ccc(Cl)cc1,4.62
CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,5.01
c1(C(N(CC)CC)=O)cc(C)ccc1,3.61
c1(C(c2ccccc2)=O)c(cc(OC)cc1)O,5.17
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N3CCNCC3,4.65
c1(S(Nc2ccccn2)(=O)=O)ccc(N)cc1,2.93
CC(=O)NC=2C(=O)N(c1ccccc1)N(C)C=2C,4.12
CC(=O)NC1=CC=C(O)C=C1,2.55
C(C)(=O)Nc1ccc(cc1)S(=O)(=O)Nc1nc(cc(n1)OC)OC,3.48
O=S(=O)(c1ccc(cc1)NC(=O)C)Nc1nc(cc(n1)C)C,3.46
c1nc(NS(c2ccc(cc2)NC(C)=O)(=O)=O)ncc1,2.78
c1(ccc(NC(=O)C)cc1)S(=O)(NC2=NC=CS2)=O,3.67
c12c(C(N(C(C)C)S(N1)(=O)=O)=O)cccc2,3.33
CC1=CSC(=C1N(C(C)COC)C(=O)CCl)C,4.14
c1ccccc1CN(C(=O)C(C)(C)C)C(C)C,4.19
OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1C(C)CC,6.12
C1(C(C(CCC1)=O)C(c1c(cc(cc1)S(=O)(=O)C)[N+](=O)[O-])=O)=O,4.5
S(C=C1C)C(C)=C1N(C(=O)C(=O)O)C(COC)C,4.06
S(C=C1C)C(C)=C1N(C(=O)CS(=O)(=O)O)C(COC)C,3.63
c1(c(cc(Cl)cc1)C)OCC(O)=O,3.76
c1(nc(nc(n1)Cl)NCC)NCC,3.91
CC1=CC=CC(CC)=C1N(C(C)COC)C(C(O)=O)=O,4.53
O=C1C(\Br)=C(/NC(=O)N1C(CC)C)C,3.35
ClC1=C(OCC(O)=O)C=CC(Cl)=C1,3.99
CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,4.59
N(c1c(cccc1C)C)(Cn1cccn1)C(CCl)=O,4.83
CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,4.57
c1(c(ccc(c1)NC(N(C)C)=O)C)Cl,4.09
CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl,4.77
c1(c(c(ccc1Cl)Cl)OC)C(O)=O,4.31
n(c(nc1NC(C)C)O)c(n1)N,2.25
c1(nc(nc(n1)O)NCC)NC(C)C,2.61
c1(n(sc(c1)Cl)C)=O,3.7
S(C)-c(nc(n1)N)nc1NC(C)(C)C,3.81
c1(nc(nc(n1)Cl)NCC)NC(C)(C)C,4.23
N(C(=O)N)c1ccc(cc1)C(C)C,3.69
c1(ccc(C(C)C)cc1)NC(N(C)C)=O,4.14
c1(nc(nc(n1)Cl)N)NCC,2.66
c1(nc(nc(n1)Cl)NCC)NC(C)C,4.19
c1(cc(c(Cl)cc1)Cl)NC(N)=O,3.93
O=C1CCCC(=O)C1C(=O)c1ccc(S(=O)(=O)C)cc1Cl,4.72
c1(c(ccc(c1)NC(N(C)C)=O)Cl)Cl,4.29
c1(cc(c(Cl)cc1)Cl)NC(NC)=O,4.28
S(Nc1ccccc1)(N(C)C)(=O)=O,3.02
c1(S(Nc2cc(C)on2)(=O)=O)ccc(N)cc1,3.81
c1(ccc(cc1)NC(C)=O)S(Nc1cc(C)on1)(=O)=O,3.98
n1(c(ccs1)=O)CCCCCCCC,5.25
c12c(cccc2)s[nH]c1=O,3.31
c1(nc(NC(C)(C)C)nc(n1)SC)NC1CC1,4.31
c12c(n(c(=O)n(c1=O)C)C)ncn2C,2.92
N(C(=O)Nc1ccc(cc1)C(C)C)C,4.12
N(C(OCC#CI)=O)CCCC,6.13
c1(nc(nc(n1)SC)NCC)NC(C)(C)C,4.15
CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,4.56
c1(Oc2ccccc2)cc(ccc1)CO,3.87
c1(cc(ccc1)C(O)=O)Oc1ccccc1,4.49
CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,4.93
OC(CN1C=NC=N1)(CN2C=NC=N2)C3=C(F)C=C(F)C=C3,4.17
C(=NC)Nc1c(cc(cc1)C)C,3.66
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,5.36
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,4.95
c1cc(C(=O)c2ccc(cc2)OC(C(=O)O)(C)C)ccc1Cl,4.94
CN1N(C(=O)C=C1C)C2=CC=CC=C2,3.95
O=S(=O)(Nc1ccc(C)cc1)N(C)C,3.24
S(=O)(=O)(N)N(C)C,1.9
c12c(scn1)cccc2,3.55
O=c1c(Cl)c(Cl)sn1CCCCCCCC,6.02
c1(nc(nc(n1)OC)NCC)NC(C)(C)C,3.81
CCNC1=NC(O)=NC(NC(C)(C)C)=N1,2.81
O=S(O)(CC(N(C(C)COC)C1=C(CC)C=CC=C1C)=O)=O,3.57
COCCOCCOC,2.43
COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,4.71
S(c1ccc(N)cc1)(O)(=O)=O,2.83
OS(C1=CC2=C(C=CC=C2)C=C1)(=O)=O,3.65
CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,3.98
CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)O,3.6
CC2(C)c1cc3C(=O)OCC(C)c3cc1C(C)(C)C2C,5.83
CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,5.08
Fc1ccc(cc1)N(C(C)C)C(=O)CS(O)(=O)=O,3.3
Fc1ccc(cc1)N(C(C)C)C(=O)C(O)=O,4.38
O=S(=O)(O)CC(=O)N(c1ccccc1)C(C)C,3.22
CC(C)N(C(=O)C(O)=O)c1ccccc1,4.28
Oc1nc(NCC)nc(NCC)n1,2.29
c1(nc(nc(n1)OC)NCC)NC(CC)C,3.71
n1c(nc(Cl)nc1NCC)NC(CC)C,4.23
Oc1ccc(C(F)(F)F)cc1,4.14
COC1=C(OC)C=CC(C(C(C)C)(C#N)CCCN(CCC2=CC(OC)=C(OC)C=C2)C)=C1,6.08
CC(C)NCC(O)COc1ccc(cc1)CC(=O)O,3.73
c1(c(nncc1N)O)Cl,2.88
ClC(=C(C=N1)N)C(=O)N1C,3.13
ClCC(=O)N(CCOCC)\C(=C(\C)C)c1ccccc1,4.89
c(ccc1C(C(=O)O)C(NCC2)CC2)cc1,4.19
c(ccc1N(N(C=2C)C)C(=O)C2N(C)C)cc1,3.84
CC(C)(C)C(=O)O/C2=C(/C(=O)N1CCOCCN12)c3c(CC)cc(C)cc3CC,6.93
Cc1cccc(c1N(Cn2cccn2)C(=O)C(=O)O)C,5.14
CC(C)N(C(=O)CCl)c1ccccc1,4.06
O=C(COc1nnc(s1)C(F)(F)F)N(c2ccc(F)cc2)C(C)C,6.19
O=C(O)c1cc(c(O)c(Br)c1)Br,4.69
c(ccc1N(N(C=2C)C)C(=O)C2N)cc1,3.8
NC(=O)N2c1ccccc1C4OC4c3ccccc23,4.99
c1cc2Nc3ccccc3\C=C/c2cc1,4.79
O=C2C(\NC=O)=C(\C)N(C)N2c1ccccc1,4.14
CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,3.84
CC1=C(N(C(CS(O)(=O)=O)=O)CCOC)C(C)=CC=C1,2.7
Cc1cccc(C)c1N(CCOC)C(=O)C(O)=O,3.49
CN(C)C(=N)NC(N)=N,3.7
[H][C@](N)(CSCCCC\C=C(/NC(=O)[C@@]1([H])CC1(C)C)C(O)=O)C(O)=O,3.47
NCC1(CC(O)=O)CCCCC1,2.83
CC[C@H](C(=O)N)N1CCCC1=O,2.51
FC1=CNC(=O)NC1=O,2.1
COC1=CC=CC(=C1)[C@@]2(O)CCCC[C@@H]2CN(C)C,3.58
ClCCN(CCCl)P1(=O)NCCCO1,3.11
CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O,6.4
NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,3.23
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,3.26
O=C/1NC(=O)N(\C=C\1)[C@@H]2O[C@@H]([C@@H](O)C2(F)F)CO,3.26
OC2(C(c1ccc(O)cc1)CNC)CCCCC2,3.87
OC2(C(c1ccc(OC)cc1)CN)CCCCC2,3.48
C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,6.76
NC1=C(C(=NN1c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N)S(=O)(=O)C(F)(F)F,7.37
FC(F)(F)c2cc(Cl)c(n1nc(C#N)c(SC(F)(F)F)c1N)c(Cl)c2,7.44
C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)C(F)(F)F)N)Cl)C(F)(F)F,7.08
c1cc(ccc1CC(=O)N)OCC(CN)O,2.71
Cl-c(ccc1)c(Cl)c1-c(nnc2N)c(n2)N,4.76
ClCCN(P(OC1)(=O)NCCCl)CC1,2.93
ClC(NC(=O)C=1Cl)=C(Cl)C1,3.94
O(c1nc(nc(c1)C)C(C)C)P(OCC)(OCC)=O,4.17
O=C/1/N=C(\N\C(=C\1)C)C(C)C,3.38
c1ccccc1N(C(=O)C(=O)N(C)C)N(C)C(=O)C,3.38
n(c(c(C)c1OC(=O)N(C)C)C)c(n1)N(C)C,3.48
c(ccc1N-c(nc(c2)C)nc2C)cc1,4.2
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,3.89
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.83
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.46
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.86
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.34
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.49
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC,6.44
FC(F)(C(/F)=C\C(O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.11
FC(F)(C(/F)=C/C(O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.81
O=C(O)/C(=C\OC)c3ccccc3Oc2cc(Oc1ccccc1C#N)ncn2,4.92
[O-][N+](=O)\C=C(/NC)NCCS(=O)Cc1oc(cc1)CN(C)C,3.69
c1c(S(=O)(=O)NC(Nc2nc(nc(n2)C(F)(F)F)OC)=O)c(C(F)(F)F)ccc1,5.11
c1(nc(nc(n1)Cl)NC(C)C)NC(C)C,4.21
C1([C@@](C(N=C(N1)S)=O)([C@@H](CCC)C)CC)=O,4.07
S1(NC(C=C(O1)C)=O)(=O)=O,2.11
c1([C@H]([C@@H](NC)C)O)ccccc1,3.45
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,3.87
P(SCC(NC)=O)(OC)(OC)=S,4.5
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,3.81
C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,3.4
C12(C(N(Cc3ccc(c4c(c5[nH]nnn5)cccc4)cc3)C(=N1)CCCC)=O)CCCC2,5.53
O=C(Nc1nc(OC)cc(OC)n1)NS(=O)(=O)c2cc(NC=O)ccc2C(=O)N(C)C,3.87
c1(ccc(n2ccc(OCc3c(cccc3)N(OC)C(OC)=O)n2)cc1)Cl,5.38
c1(cc(C(=O)NCCN(CC)CC)c(cc1N)OC)Cl,4.0
N([C@@H](CC)CO)CCN[C@@H](CC)CO,1.88
c1(C(=O)C(NC(C)(C)C)C)cc(ccc1)Cl,4.65
c1(c(ccc(c1)NC([C@@](CS(c1ccc(F)cc1)(=O)=O)(C)O)=O)C#N)C(F)(F)F,4.07
C1(CCCCC1)NS(O)(=O)=O,2.44
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,5.09
c1c(Cl)cccc1N1CCNCC1,3.53
c1c(C(F)(F)F)cccc1N1CCNCC1,3.69
c1(ccccc1)CC(N)C,3.74
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)O,5.09
C/C=C/1\C(CC(N1C)C)(C2=CC=CC=C2)C3=CC=CC=C3,6.31
CNC1(CCCCC1=O)C2=CC=CC=C2Cl,3.85
Cc1ccc(cc1)C(=O)C(C)NC,3.77
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,5.57
c1cccc(c1)C[C@H](C)NC,3.52
C1(=Nc2c(Nc3c1cccc3)ccc(c2)Cl)N1CCN(CC1)C,5.45
c1c(c(ccc1)O[C@@H](c1ccccc1)CCNC)C,4.64
OCc1cc(ccc1O)C(O)CNC(C)(C)C,3.19
CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,4.33
C1CN(CC2=C1SC=C2)C(C3=CC=CC=C3Cl)C(=O)O,4.7
CS(=O)(=O)Nc1cc2c(c(oc2cc1)CCCC)C(c1ccc(cc1)OCCCN(CCCC)CCCC)=O,8.15
