SELFIES,true_LogS,guessed_LogS
[O][=C][Branch1][C][O][C][=C][C][=N][C][=C][Ring1][=Branch1],-1.374,-1.374
[Cl][C][=C][C][=C][Branch2][Ring2][=Branch2][N][C][Branch2][Ring2][Ring1][N][C][=Branch1][C][=N][N][C][C][C][C][C][C][N][C][=Branch1][C][=N][N][C][=Branch1][C][=N][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][C][=C][Ring2][Ring1][P],-2.8010001,-2.801
[P][Branch1][C][F][=Branch1][C][=O][Branch1][#Branch1][O][C][Branch1][C][C][C][O][C][Branch1][C][C][C],-1.0779999,-1.078
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][Cl],-2.2880001,-2.288
[O][=C][C@][Branch1][C][C][C@][Branch1][C][C][Branch1][Branch2][C][=Branch1][C][=O][O][Ring1][Branch2][C][O][C][Ring1][#Branch2][C][C][Ring1][Branch1],-3.816,-3.816
[O][=C][N][Branch1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][=Branch2][Branch1][C][C][C][=C][C][C][C][C][Ring1][=Branch1],-2.7349999,-2.735
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C][O],0.60699999,0.607
[O][=C][Branch2][Branch1][C][O][C][C][=Branch1][C][=O][C@@H1][C@][Branch1][C][C][C][Branch2][Ring1][=C][C][C][Branch2][Ring1][Branch1][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][C][Ring1][N][C][C][Ring1][P][C][C][Ring2][Ring1][Ring2][C],-4.630000099999998,-4.63
[C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][=N][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][C][Ring1][=N][C][=C][C][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2],-7.966000099999999,-7.966
[O][C][=C][C][=C][Branch2][Ring1][=Branch1][/C][=Branch1][P][=C][Branch1][Ring1][\C][C][/C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][/C][C][C][=C][Ring2][Ring1][Ring1],-4.3499999,-4.35
[Cl][C][Branch1][C][Cl][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring1][Ring2][C@H1][Branch1][C][O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][C][O],-2.1110001,-2.111
[O][C][Branch1][Ring1][C][O][C][O],1.036,1.036
[O][=C][C][Branch1][C][O][C][O],-0.48899999,-0.489
[O][=C][Branch1][C][O][C@H1][Branch1][C][N][C][C][=Branch1][C][=O][O],-1.395,-1.395
[S][Branch1][N][S][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O],-3.102,-3.102
[O][=C][Branch1][C][O][C][N][Branch1][=Branch1][C][=Branch1][C][=N][N][C],-0.99400002,-0.994
[S][=C][=N][C][C][=C],-1.6950001,-1.695
[O][=C][Branch1][C][O][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],-6.807000200000001,-6.807
[O][=C][Branch1][C][N][N],0.958,0.958
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][Branch1][C][O][Branch1][C][C][C],-1.346,-1.346
[O][=C][N][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C@@][C][Ring1][=Branch2][C][C][Branch2][Ring1][=Branch1][O][C][C][=C][C][Ring1][#Branch1][C][C][Ring1][O][N][Branch1][Ring2][C][Ring1][=Branch1][C][C][Ring1][#C][C][Ring2][Ring1][Branch2],-3.3199999,-3.32
[O][C@@H1][C@@H1][O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C@][Ring1][#Branch2][C@H1][Branch1][#C][C@@H1][Branch1][=Branch2][N][Branch1][C][C][C][C][Ring1][#Branch1][C][Ring1][#Branch2][C][=C][Ring2][Ring1][Ring2],-3.2820001000000003,-3.282
[O][=C][Branch1][Ring2][O][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][Branch1][C][C][C][C][Ring1][=N],-1.885,-1.885
[O][=C][C][Branch1][Branch2][C][C][C][Branch1][C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][#C],-2.5739999,-2.574
[O][=C][C][Branch1][Ring1][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][N],-1.393,-1.393
[O][=C][Branch1][#C][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][O][C][O],0.63499999,0.635
[O][C][Branch1][Ring1][C][O][C],1.119,1.119
[O][=C][O][C][C][Ring1][Ring2],0.70999998,0.71
[Cl][C][=C][C@][Branch1][C][O][Branch1][C][C][C][C][Branch1][S][C][=Branch1][C][=O][C][Ring1][=Branch2][=C][Branch1][C][O][C][=C][Ring1][=C][=C][Branch1][C][O][C@][Branch1][C][O][C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][N][=C][Branch1][C][O][C@@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][Ring1][#C][C][Ring2][Ring1][O],-2.881,-2.881
[O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][Branch2][Ring1][Branch2][C][C@@][Branch1][C][C][Branch1][=N][C@][Branch1][C][O][Branch1][Ring1][C][#C][C][C][Ring1][=Branch2][C][C][Ring1][=N][C][C][Ring2][Ring1][Ring1],-4.4190001,-4.419
[O][=C][Branch1][C][C][C@@H1][C@][Branch1][C][C][C][Branch2][Ring1][=C][C][C][Branch2][Ring1][Branch1][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][C][Ring1][N][C][C][Ring1][P][C][C][Ring2][Ring1][Ring2],-4.553,-4.553
[O][=C][Branch2][Ring2][=N][O][C@@H1][C@][Branch1][C][C][C][Branch2][Ring1][=C][C][C][Branch2][Ring1][Branch1][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][C][Ring1][N][C][C][Ring1][P][C][C][Ring2][Ring1][Ring2][C][C],-5.367000099999999,-5.367
[O][C@@H1][C][C][C@@][Branch1][C][C][Branch2][Ring2][O][C][C][Branch2][Ring1][P][C][C@@][Branch1][C][C][Branch2][Ring1][Ring2][C@@H1][Branch1][=N][C@H1][Branch1][=Branch2][C][C][C][C][Branch1][C][C][C][C][C][C][Ring1][=C][C][C][Ring2][Ring1][C][C][C][=Ring2][Ring1][#Branch1][C][C][Ring2][Ring1][O],-6.610000099999999,-6.61
[O][C@H1][C@][Branch1][C][C][C][Branch2][Ring1][O][C][C][Branch2][Ring1][C][C][=C][Branch1][#Branch2][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][Ring1][O][C][C][Ring1][S][C][C][Ring2][Ring1][Ring1],-4.8439999,-4.844
[O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][N][Branch1][C][C][C][Ring1][#Branch2][C][Ring1][=C],-1.207,-1.207
[O][=C][N][Branch1][C][C][C][=Branch1][C][=O][C][N][Branch1][C][C][C][=N][C][=Ring1][=Branch1][N][Ring1][N][C],-0.954,-0.954
[O][=C][N][Branch1][P][N][Branch1][C][C][C][Branch1][C][C][=C][Ring1][#Branch1][N][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.62900001,-0.629
[O][=C][C][=C][C@@][Branch1][C][C][Branch2][Ring1][S][C][C][Branch2][Ring1][#Branch1][C][C@@][Branch1][C][C][Branch1][N][C@][Branch1][C][O][Branch1][C][C][C][C][Ring1][Branch2][C][C][Ring1][N][C][C][Ring1][P][C][C][Ring2][Ring1][Branch1],-3.95,-3.95
[O][=C][C][Branch1][C][C][=C][C][=Branch1][C][=O][C][=C][Ring1][Branch2][C][=C][C][=C][Ring1][=Branch1],-3.0320001,-3.032
[O][Branch2][Ring1][#Branch1][As][C][=C][Branch1][N][O][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=N][As][C][=C][Branch1][N][O][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=N],-5.0019999,-5.002
[Cl][C][=C][C][N][Branch1][#C][C][C][C][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][C][=C][Branch1][#Branch2][S][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][C][=C][C][=C][Ring1][#Branch2],-4.3969998,-4.397
[Cl][C][=C][C][N][Branch1][P][C][C][C][N][C][C][N][Branch1][Ring2][C][C][O][C][C][Ring1][=Branch2][C][=C][Branch1][O][S][C][=Ring2][Ring1][C][C][=C][Ring2][Ring1][=Branch1][C][=C][C][=C][Ring1][#Branch2],-4.1550002,-4.155
[O][=C][N][=C][N][C][N][Branch2][Ring1][C][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][Ring1][C][O][O][Ring1][=Branch2][C][=N][C][Ring2][Ring1][C][=Ring1][=C],-1.23,-1.23
[O][Branch1][C][C][C][=C][Branch1][Ring1][O][C][C][=C][C][Branch2][Ring1][Branch2][C][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][=C][Ring2][Ring1][#Branch1],-3.987,-3.987
[Cl][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][O],-4.0040002,-4.004
[Cl][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][N][C][Ring1][Branch2][=C][Ring1][S],-2.615,-2.615
[O][=C][Branch1][C][O][C][Branch2][Ring2][Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#Branch1][N][C][C][N][=C][C][=Branch1][C][=O][N][=C][Branch1][C][N][N][=C][Ring1][Branch2][N][C][=Ring1][N][C][=C][Ring2][Ring1][Ring2][C][C][C][=Branch1][C][=O][O],-5.441,-5.441
[O][=C][N][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2],-2.141,-2.141
[O][=C][Branch1][O][O][C][C][N][Branch1][Ring1][C][C][C][C][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],-1.398,-1.398
[O][Branch1][Branch2][C][C][Branch1][C][O][C][O][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1],-1.189,-1.189
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][N][C][S][C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][=N][N][=Ring1][=Branch2],-2.3559999,-2.356
[O][=N][N][C][C][O][C][C][Ring1][=Branch1],0.935,0.935
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],-1.596,-1.596
[N][=Branch1][#Branch2][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],-3.79,-3.79
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],-2.5780001,-2.578
[O][=C][Branch1][C][O][C][C][C][C][C][N],0.58499998,0.585
[N][Branch1][C][N][C],1.337,1.337
[S][=P][Branch1][=Branch2][S][C][C][=Branch1][C][=O][N][C][Branch1][Ring1][O][C][O][C],-0.99299997,-0.993
[O][=C][Branch1][=C][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][=C][Ring1][Branch2][O],-3.3480000000000003,-3.348
[N][Branch2][Ring1][=N][C][Branch2][Ring1][Branch2][C][N][C][=C][Branch1][N][S][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=N][C][Branch1][C][C][C],-4.2610002,-4.261
[C][Branch2][Ring1][#Branch1][N][C][=C][Branch1][N][S][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=N][C][C][N][Branch1][C][C][C][C][C][Ring1][#Branch1],-4.744999900000002,-4.745
[O][Branch1][C][C][C][=C][C][N][Branch1][N][C][C][Branch1][#Branch1][C][N][Branch1][C][C][C][C][C][=C][Branch1][=Branch2][S][C][=Ring1][=N][C][=C][Ring1][P][C][=C][C][=C][Ring1][#Branch2],-4.2150002,-4.215
[O][=C][Branch1][C][O][C][=C][Branch1][S][N][C][=C][Branch1][C][C][C][Branch1][C][C][=C][C][=C][Ring1][Branch2][C][=C][C][=C][Ring1][#C],-4.0819998,-4.082
[N][C][=N][NH1][C][=N][Ring1][Branch1],0.52200001,0.522
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C][C][Branch1][C][C][C],-0.78500003,-0.785
[O][=N+1][Branch1][C][O-1][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2],-2.9219999,-2.922
[S][=C][Branch1][C][N][C],0.336,0.336
[S][=C][Branch1][C][N][N],0.271,0.271
[O][=C][Branch1][C][O][C][Branch1][C][N][Branch1][C][C][C],0.244,0.244
[O][=C][Branch2][#Branch1][Ring1][O][C][C][Branch1][C][O][O][C][C][Branch1][C][C][Branch2][Branch1][#C][C][Ring1][#Branch1][C][C][C][Ring1][#Branch1][C][Branch1][C][O][C][Branch1][C][O][Branch2][Ring2][Branch2][C][C][Branch1][C][O][Branch2][Ring1][Branch2][C][Branch1][C][O][Branch1][C][C][C][N][Branch1][#Branch2][C][C][Branch1][C][C][C][C][Ring1][#Branch1][C][Ring1][=C][C][Branch1][C][O][C][Ring2][Ring1][Branch1][C][Ring2][Ring1][=N][C][C][Ring2][Ring2][Ring1][/C][=Branch1][Ring1][=C][/C][/C],-3.016,-3.016
[O][=N][N][Branch1][C][C][C],1.13,1.13
[O][=C][C@][Branch1][C][C][C][Branch2][Ring1][=C][C][C][Branch2][Ring1][Branch1][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][C][Ring1][N][C][C][Ring1][P][C][C][Ring2][Ring1][Ring2],-3.6949999,-3.695
[O][=C][Branch2][Ring1][C][O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch2][N][C],-3.2620001,-3.262
[S][Branch1][N][C][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O][C],-0.421,-0.421
[O][=C][Branch1][Ring1][O][C][C][=C][C][C][N][Branch1][C][C][C][Ring1][#Branch1],0.80900002,0.809
[O][=C][Branch1][P][O][C][=C][C][Branch1][=Branch1][C][Branch1][C][C][C][=C][C][=C][Ring1][=Branch2][N][C],-3.3570001000000005,-3.357
[O][=C][O],1.337,1.337
[O][=C][Branch1][C][O][C],1.221,1.221
[O][=C][Branch1][C][N][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1],-1.823,-1.823
[O][=C][Branch1][C][O][C][=C][Branch1][C][O][C][=C][Branch1][C][N][C][=C][Ring1][Branch2],-1.957,-1.957
[O][=C][C][Branch1][C][C][=C][N][C][=Branch1][C][=O][N][Ring1][Branch2],-1.5190001,-1.519
[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.5549999,-1.555
[O][=C][N][C][=Branch1][C][=O][C][=C][N][Ring1][#Branch1],-1.493,-1.493
[O][=C][C][C][C][C][C],-1.249,-1.249
[N][=C][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Ring1][#Branch2][=C][C][=C][Ring1][=C],-1.826,-1.826
[O][=N+1][Branch1][C][O-1][C][O][C][Branch1][S][/C][=N][/N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][#Branch1][=C][C][=Ring1][=C],-3.4760001000000003,-3.476
[O][=N+1][Branch1][C][O-1][C][O][C][Branch1][=N][/C][=N][/N][C][=Branch1][C][=O][O][C][C][Ring1][=Branch1][=C][C][=Ring1][=N],-3.75,-3.75
[O][C],1.494,1.494
[O][C][Branch1][C][C][C],1.221,1.221
[O][=C][Branch1][C][C][C],1.2359999,1.236
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][Branch1][C][Cl][Branch1][C][Cl][Cl],-3.675,-3.675
[F][C][C][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][=C][Ring1][Branch2][C][C][C][Ring1][N][C][C][Branch1][C][C][Branch2][Ring1][#C][C][Branch1][C][O][Branch1][N][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][C][Branch1][#Branch1][O][C][=Branch1][C][=O][C][C][Ring2][Ring1][C][C][C][Ring2][Ring1][S][O],-4.1300001,-4.13
[O][=C][C][Branch1][Ring1][C][O][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch1][Branch1][S][S][Ring1][#Branch2][N][Ring1][N][C][C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C][Ring1][N],-3.6689999,-3.669
[S][C][C][=Branch1][C][=O][O],1.036,1.036
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][#Branch2][N][C][=N][C][=C][C][=N][Ring1][=Branch1][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],-3.5120001000000003,-3.512
[O][=C][Branch1][C][C][C][Branch1][C][O][C][Branch1][C][C][C][Branch2][Ring1][=C][C][C][Branch2][Ring1][Branch1][C][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][C][Ring1][N][C][C][Ring1][P][C][C][Ring2][Ring1][Branch1],-4.7080002,-4.708
[O][C@@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][C@H1][Branch1][C][O][C][O],0.074000001,0.074
[O][=C][Branch1][C][O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1],-1.79,-1.79
[O][=C][N][C][=Branch1][C][=O][C][NH1][C][=N][C][=Ring1][Branch1][N][Ring1][#Branch2],-3.3429999,-3.343
[O][=C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][N][C][=Ring1][=Branch1][N][Ring1][O],-3.447,-3.447
[Cl][C][=C][Branch2][Ring1][Ring2][C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][O][C][Branch1][C][O][=C][Branch1][C][Cl][C][=C][Ring2][Ring1][Ring1][Cl],-3.4630001000000004,-3.463
