SELFIES,true_LC50[-LOG(mol_L)],guessed_LC50[-LOG(mol_L)]
[C][N][C][C][N][C][Branch1][Ring2][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][Branch1][C][O][=C][N][=C][Ring1][P][Ring1][#Branch1],3.97,3.97
[N][C@H1][C][C][C@@H1][Branch1][#C][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][C][=C][C][=C][C][=C][Ring2][Ring1][C][Ring1][=Branch1],5.46,5.46
[C][C][C][C][C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][C][=C][Branch1][S][C][C][C][Ring1][=Branch1][C][Branch1][Ring2][O][Ring1][#Branch2][Branch1][C][C][C][C][C][=Branch1][Ring2][=C][Ring1][P][O],5.76,5.76
[C][O][C][=Branch1][C][=O][C@@H1][C][C][C][C][Branch1][=Branch1][C][C@@H1][Ring1][#Branch1][O][N][Ring1][Branch2][C],2.84,2.84
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][C][C][N][Branch2][Ring1][Branch2][C][C][C][=C][N][C][=C][C][=C][C][=Branch1][=Branch1][=C][Ring1][=Branch2][Ring1][=Branch1][C][Ring1][N][=C][Ring1][S][C],5.32,5.32
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Branch1][C][C][N][C][C][C][C][Ring1][Branch1],4.16,4.16
[C][C][=C][C][=Branch1][C][=O][NH1][C][=Branch1][C][=S][NH1][Ring1][Branch2],2.45,2.45
[C][O][C][=N][C][Branch1][C][N][=N][C][Branch1][C][C][=N][Ring1][Branch2],1.57,1.57
[C][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N][Branch1][C][C][C][=N],3.89,3.89
[C][=Branch1][=C][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][N][N],1.35,1.35
[C][C][O][C][N][Branch1][=C][C][=Branch1][C][=O][C][S][Branch1][C][O][=Branch1][C][=O][=O][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C][C],3.37,3.37
[C][C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][N][C][Branch1][C][C][C][O][C][C][Ring1][#Branch1][=O],3.78,3.78
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=N][N],3.54,3.54
[C][N][C][C][N][Branch1][Branch1][C][Ring1][Branch1][=O][C],1.88,1.88
[O][=C][C][=C][C][=C][N][N][N][=C][Ring1][=Branch2][Ring1][Branch1],3.26,3.26
[C][N][C][=Branch1][C][=O][C][S][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],3.17,3.17
[C][C][=Branch1][C][=O][N][P][=Branch1][C][=O][Branch1][Ring1][O][C][S][C],3.28,3.28
[C][/C][=Branch1][Branch2][=C][\C][=Branch1][Ring1][=N][\C][\O][/O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],4.24,4.24
[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][=C][C][Branch1][C][C][=C][Branch1][Ring1][S][C][C][=C][Ring1][=Branch2],5.05,5.05
[C][C][O][C][N][Branch1][#Branch1][C][=Branch1][C][=O][C][Cl][C][=C][Branch1][Ring1][C][C][C][=C][C][=C][Ring1][Branch2][C],4.74,4.74
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][C][Branch1][C][C][O][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][Ring1][#Branch2],5.06,5.06
[C][C][O][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][#C][O][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][S],4.82,4.82
[C][N][Branch1][C][C][C][C][S][S][S][C][Ring1][=Branch1],4.11,4.11
[C][=C][C][N][Branch1][Ring2][C][C][=C][C][=Branch1][C][=O][C][Branch1][C][Cl][Cl],4.82,4.82
[N][C][C][C][=Branch1][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][=Branch1],2.69,2.69
[C][Branch1][=Branch2][C][C][N][C][=Branch1][C][=N][N][C][N],3.25,3.25
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/N][=N][/C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][Ring1][#Branch2][O],5.35,5.35
[C][C@H1][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][Branch1][=Branch2][S][C][Ring1][Ring2][Branch1][C][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][N],3.47,3.47
[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][N][Cl][Cl],4.3,4.3
[Cl][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O],5.72,5.72
[C][C][Branch1][C][C][Branch1][#Branch2][/C][=N][/O][C][=Branch1][C][=O][N][C][S][C],5.14,5.14
[C][C][Branch1][C][C][Branch1][#Branch2][/C][=N][/O][C][=Branch1][C][=O][N][C][S][=Branch1][C][=O][=Branch1][C][=O][C],4.65,4.65
[C][C][Branch1][C][C][Branch1][#Branch2][/C][=N][/O][C][=Branch1][C][=O][N][C][S+1][Branch1][C][C][O-1],3.71,3.71
[F][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][O][C][C][C][N][C][C][N][Branch1][=Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][N],3.16,3.16
[C][C][N][Branch2][Ring1][Branch2][C][C][N][Ring1][=Branch1][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][C][=C][C][=C][C][=N][Ring1][=Branch1],3.93,3.93
[C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C@][Branch2][Ring2][=N][C@H1][Branch2][Ring2][Branch2][C][C@@H1][C@@][Ring1][Branch1][Branch2][Ring1][#C][C][C@@H1][Branch2][Ring1][=Branch2][C@][Branch2][Ring1][Ring2][C@H1][Ring1][=Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@@][Ring1][#Branch1][Ring1][O][C][Cl][O][C][C][O][C][=Branch1][C][=O][C][C],4.72,4.72
[Cl][C][=C][C][=C][C][S][C][=Branch1][C][=O][N][Branch1][=Branch1][C][=Ring1][=Branch1][Ring1][#Branch2][C][C][=Branch1][C][=O][O],3.52,3.52
[C][C][O][C][=Branch1][C][=O][C][C][N][Branch1][=Branch1][C][Branch1][C][C][C][S][N][Branch1][C][C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][Branch1][Ring2][C][Ring1][=Branch1][Branch1][C][C][C],6.05,6.05
[C][C][C][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][=Branch2][N][C][=Branch1][C][=O][O][C],5.15,5.15
[C][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][C][=Branch1][C][=O][C][Branch1][C][Cl][Cl],4.78,4.78
[C][C][Branch1][C][C][O][P][=Branch1][C][=S][Branch1][#Branch1][O][C][Branch1][C][C][C][S][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],5.44,5.44
[Cl][C][=C][C][=C][Branch1][Ring1][O][C][C][=Branch1][=Branch1][=C][Ring1][Branch2][O][C][C][=Branch1][Branch1][=N][\O][C][C][\O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],6.9,6.9
[C][O][C][=Branch1][C][=O][C][=C][Branch2][Ring1][Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Cl][N+1][=Branch1][C][=O][O-1],6.17,6.17
[C][C][Branch1][C][C][Branch1][C][C][C][Branch2][Ring1][=C][C][Branch1][Branch2][N][C][=N][C][=N][Ring1][Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][O],5.85,5.85
[Br][C][=C][C][=Branch1][#Branch2][=C][C][Branch1][C][Br][=C][Ring1][#Branch1][N][C][Branch1][C][O][C][N][C][Branch1][C][C][Branch1][C][C][C],4.08,4.08
[C][C][Branch1][C][C][N][/C][=Branch1][#Branch2][=N][/C][Branch1][C][C][Branch1][C][C][C][/S][C][N][Branch1][Branch1][C][Ring1][O][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],5.3,5.3
[C][C][C][Branch1][C][C][N][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][C][Branch1][C][C][C][N+1][=Branch1][C][=O][O-1],6.99,6.99
[C][C][C][Branch1][C][C][S][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][S][C][Branch1][C][C][C][C],4.93,4.93
[C][C][O][C][=Branch1][C][=O][C][Branch2][Ring2][Ring2][C][C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][F][N][C][=Branch1][C][=O][N][Branch1][Branch2][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][Branch1][C][F][F][Cl],6.85,6.85
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][=N][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][O][C],4.83,4.83
[C][C][=N][C][=Branch1][#Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][O][C][N][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],4.05,4.05
[C][C][Branch1][C][C][Branch1][C][C][C][N][C][Branch1][C][O][C][=C][C][=C][Branch1][C][N][C][Branch1][Ring1][C][#N][=C][Ring1][=Branch2],3.41,3.41
[C][C][C][Branch1][C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][Branch1][C][Cl][=C][Branch1][C][N][C][Branch1][C][Cl][=C][Ring1][=Branch2],4.6,4.6
[C][C][C][=Branch1][C][=O][O][C@@][Branch2][Ring2][=N][C@H1][Branch2][Ring2][Branch2][C][C@@H1][C@@][Ring1][Branch1][Branch2][Ring1][#C][C][C@@H1][Branch2][Ring1][=Branch2][C@][Branch2][Ring1][Ring2][C@H1][Ring1][=Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@@][Ring1][#Branch1][Ring1][O][C][F][O][C][C][C][=Branch1][C][=O][C][Cl],4.66,4.66
[C][C@H1][Branch1][=Branch2][C][=Branch1][C][=O][O][C][C][#C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][Cl][F],5.4,5.4
[C][C][C][C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][=C][C][=N][Ring1][#Branch2],6.17,6.17
[S][=P][Branch1][=C][O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][Branch1][Ring2][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],6.09,6.09
[C][C][C][C][=Branch1][Branch1][=N][O][C][C][C][=C][Branch2][Ring1][C][C][C][Branch1][=Branch1][C][C][Ring1][=Branch1][=O][C][C][C][C][S][C][Ring1][=Branch1][O],5.01,5.01
[C][C][Branch1][=Branch1][C][C][C][Ring1][Ring1][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O],5.06,5.06
[C][C][=C][C][=Branch1][P][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring1][Ring1],4.61,4.61
[C][C][S][C][C][S][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],4.05,4.05
[S][Branch2][Ring1][Branch1][C][=N][C][=Branch1][=C][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][C][Branch1][C][C][C][N][C][C],3.82,3.82
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Cl],6.18,6.18
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C],2.36,2.36
[S][Branch2][Ring1][O][C][=N][C][=Branch2][Ring1][C][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][C][Branch1][C][C][C][Branch1][C][C][C][N][C][C][C],4.21,4.21
[C][C][=N][C][=C][Branch1][Branch1][N][Ring1][Branch1][C][N+1][=Branch1][C][=O][O-1],3.61,3.61
[C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C],4.9,4.9
[C][C][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][N][C],4.48,4.48
[O][=C][Branch2][Ring1][Ring2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][=Branch1][C][=O][C][C][N][C],3.86,3.86
[O][=C][Branch1][P][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][C][C][N][C],3.24,3.24
[C][C][O][C][=C][Branch1][P][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][C][C][O][C][=Branch1][Ring2][=N][Ring1][Branch1][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][F][F],6.67,6.67
[C][C][O][P][=Branch1][C][=O][Branch1][#Branch1][N][C][Branch1][C][C][C][O][C][=C][C][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][C][C],4.62,4.62
[C][=C][C][=C][Branch2][Ring1][S][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Branch1][=Branch2][C][=C][N][=C][N][=C][Ring1][=Branch1][O][Cl],3.49,3.49
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][#N],5.68,5.68
[C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=N][C][=C][Branch1][Ring2][O][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][Cl],4.8,4.8
[O][=S][=Branch1][C][=O][Branch2][Ring1][#Branch2][C][=C][Branch2][Ring1][Ring2][C][=C][Branch1][N][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C][C][=C][Ring1][=N][C][C],3.13,3.13
[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][C][=C][N][C][=C][Ring1][Branch1][C][#N],5.9,5.9
[C][C][Branch2][Ring2][Branch2][C][Branch1][Branch2][C][Ring1][Ring1][Branch1][C][C][C][C][=Branch1][C][=O][O][C][Branch1][Ring1][C][#N][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C],6.26,6.26
[O][=P][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C][=C][C][=C][Branch1][Ring1][S][C][C][=Branch1][Ring2][=C][Ring1][Branch2][C],3.99,3.99
[C][O][C][=C][C][=Branch2][Ring2][#Branch1][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][Branch1][#Branch1][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][O][C],4.26,4.26
[C][N][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][C][=C][Ring1][=Branch1],6.76,6.76
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][C][=C][O][Ring1][Branch1],5.13,5.13
[C][C][O][C][C][N][Ring1][=Branch1][C][C][C][N][Branch1][Branch2][C][=Branch1][C][=O][O][Ring1][=Branch1][N][=C][C][=C][C][=C][Branch1][Ring2][O][Ring1][Branch1][N+1][=Branch1][C][=O][O-1],3.65,3.65
[C][C][C][C][O][C][=Branch1][C][=O][N][Branch1][C][C][S][N][Branch1][C][C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][Ring2][C][Ring1][Branch1][Branch1][C][C][C],5.45,5.45
[C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][Branch1][C][C][O][C][=Branch1][C][=O][N][C][C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][C][=Branch1][C][=O][O],4.13,4.13
[C][C][O][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][Branch1][P][C][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][Cl],5.45,5.45
[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][S][C][=Branch1][C][=O][N][Branch1][=C][C][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][=Branch1][C][Ring1][#C][C],5.44,5.44
[C][N][C][=Branch1][Branch2][=C][N][=C][Ring1][Branch1][C][O][N+1][=Branch1][C][=O][O-1],3.79,3.79
